"","JULDAY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SNOWMELT","POOLDEP","PCTWET","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP"
"1",1,0,22.0655403137207,22.298095703125,31.2104969024658,30.7715339660645,0.31089049577713,2.18796420097351,0,0,0,90,0,7.2501220703125,0,0,0,0
"2",1,60,22.4781455993652,22.8786010742188,34.2970695495605,33.4737701416016,0.267465829849243,1.88235318660736,0,0,0,90,0,7.82745361328125,0,0,0,0
"3",1,120,22.2955799102783,22.7504577636719,37.1895599365234,36.1760063171387,0.224041223526001,1.57674217224121,0,0,0,90,0,7.55111694335938,0,0,0,0
"4",1,180,22.1076831817627,22.6532897949219,40.1898193359375,38.8782424926758,0.180616557598114,1.27113115787506,0,0,0,90,0,7.34664916992188,0,0,0,0
"5",1,240,21.9007015228271,22.5796203613281,43.3351593017578,41.5804824829102,0.127465084195137,0.897065341472626,0,0,0,90,0,7.20440673828125,0,0,0,0
"6",1,300,21.7835254669189,22.5237121582031,46.9584312438965,44.8880004882812,0.116897724568844,0.822694957256317,0,0,0,90,0.246150299906731,7.11846923828125,0,0,0,0
"7",1,360,23.3027400970459,22.7199401855469,43.3323822021484,44.8880004882812,0.164074972271919,1.15471601486206,0,0,0,81.9343338012695,61.6884880065918,7.2056884765625,0,0,0,0
"8",1,420,28.1813011169434,24.2281799316406,32.5371513366699,41.0949020385742,0.211252257227898,1.48673701286316,0,0,0,68.7371292114258,247.649215698242,9.46270751953125,0,0,0,0
"9",1,480,33.0634765625,26.661376953125,25.06201171875,36.2069358825684,0.258429557085037,1.81875813007355,0,0,0,55.2613220214844,415.269500732422,12.6858215332031,0,0,0,0
"10",1,540,37.4805870056152,29.6277160644531,20.1900253295898,31.3189697265625,0.305606782436371,2.15077900886536,0,0,0,41.6041526794434,550.286010742188,16.4539489746094,0,0,0,0
"11",1,600,40.7832489013672,32.6495971679688,16.9504890441895,26.431001663208,0.352784007787704,2.48280024528503,0,0,0,27.8382511138916,619.540893554688,20.1316833496094,0,0,0,0
"12",1,660,42.1929168701172,35.2404479980469,11.4562492370605,16.6550674438477,0.399961292743683,2.81482100486755,0,0,0,14.0488586425781,578.010498046875,23.2821044921875,0,0,0,0
"13",1,720,43.2267189025879,36.9830627441406,11.9421854019165,16.6550674438477,0.494315922260284,3.47886323928833,0,0,0,2.04899024963379,598.826232910156,25.2283325195312,0,0,0,0
"14",1,780,43.7840843200684,37.5968933105469,12.8421764373779,17.8314399719238,0.494315922260284,3.47886323928833,0,0,0,14.0488586425781,591.811767578125,25.8950805664062,0,0,0,0
"15",1,840,42.8609962463379,36.9830627441406,13.8915987014771,19.0078125,0.477640867233276,3.36150884628296,0,0,0,27.8382511138916,541.649719238281,25.1896057128906,0,0,0,0
"16",1,900,40.4076652526855,35.2404479980469,15.256386756897,20.1841850280762,0.460965782403946,3.24415421485901,0,0,0,41.6041526794434,454.444030761719,23.1826477050781,0,0,0,0
"17",1,960,36.5731582641602,32.6495971679688,17.1832218170166,21.3605556488037,0.44429075717926,3.12679982185364,0,0,0,55.2613220214844,325.683624267578,20.1631164550781,0,0,0,0
"18",1,1020,32.0450706481934,29.6277160644531,19.6340675354004,22.5369281768799,0.427615731954575,3.00944542884827,0,0,0,68.7371292114258,185.296356201172,16.5936889648438,0,0,0,0
"19",1,1080,27.4073696136475,26.661376953125,22.6973915100098,23.7133007049561,0.410940676927567,2.89209079742432,0,0,0,81.9343338012695,44.2093963623047,13.0361022949219,0,0,0,0
"20",1,1140,25.07053565979,24.9847106933594,24.762716293335,24.8896713256836,0.394265621900558,2.77473640441895,0,0,0,90,0.182632207870483,10.9605712890625,0,0,0,0
"21",1,1200,24.1270999908447,24.1182250976562,26.052131652832,26.0660438537598,0.377590626478195,2.65738201141357,0,0,0,90,0,9.83053588867188,0,0,0,0
"22",1,1260,23.4500045776367,23.4610900878906,27.2606220245361,27.2424163818359,0.360915571451187,2.5400276184082,0,0,0,90,0,8.9434814453125,0,0,0,0
"23",1,1320,22.9289855957031,22.9627075195312,28.4768848419189,28.4187889099121,0.344240516424179,2.42267322540283,0,0,0,90,0,8.24423217773438,0,0,0,0
"24",1,1380,22.5218086242676,22.5847473144531,29.7085037231445,29.5951614379883,0.327565550804138,2.30531859397888,0,0,0,90,0,7.6905517578125,0,0,0,0
"25",2,0,22.203462600708,22.298095703125,30.9493274688721,30.7715339660645,0.31089049577713,2.18796420097351,0,0,0,90,0,7.2501220703125,0,0,0,0
"26",2,60,22.0004386901855,22.1259059906006,33.5527877807617,33.2971000671387,0.271822243928909,1.91301238536835,0,0,0,90,0,7.10702514648438,0,0,0,0
"27",2,120,21.8026390075684,21.9537143707275,36.1545372009277,35.8226623535156,0.232753992080688,1.63806056976318,0,0,0,90,0,6.96823120117188,0,0,0,0
"28",2,180,21.604585647583,21.7815246582031,38.7653160095215,38.3482284545898,0.193685784935951,1.36310887336731,0,0,0,90,0,6.83383178710938,0,0,0,0
"29",2,240,21.3780765533447,21.6093349456787,41.4566497802734,40.8737945556641,0.114718586206436,0.807358801364899,0,0,0,90,0,6.70376586914062,0,0,0,0
"30",2,300,20.7503604888916,21.4371452331543,41.6753387451172,39.9539985656738,0.105142042040825,0.739961564540863,0,0,0,90,0.251248329877853,3.75274658203125,0,0,0,0
"31",2,360,22.4709014892578,21.8007202148438,38.3553504943848,39.9539985656738,0.147609829902649,1.03883850574493,0,0,0,81.9616928100586,64.3792877197266,4.15213012695312,0,0,0,0
"32",2,420,27.9158115386963,23.4383544921875,27.9218044281006,36.4138374328613,0.190077573060989,1.33771538734436,0,0,0,68.7578887939453,267.55517578125,6.2640380859375,0,0,0,0
"33",2,480,33.6014823913574,26.0818481445312,20.6684494018555,31.8429336547852,0.232545375823975,1.63659226894379,0,0,0,55.2760581970215,464.477966308594,9.43679809570312,0,0,0,0
"34",2,540,38.910026550293,29.3052978515625,15.9751091003418,27.2720260620117,0.275013148784637,1.9354692697525,0,0,0,41.6130409240723,639.324096679688,13.2100219726562,0,0,0,0
"35",2,600,43.0043334960938,32.5895385742188,12.9100112915039,22.7011184692383,0.317480951547623,2.23434591293335,0,0,0,27.8406887054443,750.909240722656,16.81884765625,0,0,0,0
"36",2,660,45.2183303833008,35.405517578125,8.04443359375,13.559308052063,0.359948724508286,2.53322291374207,0,0,0,14.0412168502808,775.735473632812,18.3787536621094,0,0,0,0
"37",2,720,46.2519187927246,37.2996826171875,8.46403026580811,13.559308052063,0.444884270429611,3.1309769153595,0,0,0,1.96692276000977,803.687866210938,20.7542419433594,0,0,0,0
"38",2,780,46.7485580444336,37.9669189453125,9.25106143951416,14.659086227417,0.444884270429611,3.1309769153595,0,0,0,14.0412168502808,783.423522949219,21.912353515625,0,0,0,0
"39",2,840,45.5211753845215,37.2996826171875,10.2112617492676,15.7588653564453,0.429876744747162,3.02535772323608,0,0,0,27.8406887054443,707.508117675781,21.3692016601562,0,0,0,0
"40",2,900,42.5076141357422,35.405517578125,11.5109462738037,16.8586444854736,0.414869219064713,2.91973900794983,0,0,0,41.6130409240723,585.928588867188,19.2307434082031,0,0,0,0
"41",2,960,37.8623352050781,32.5895385742188,13.4224472045898,17.958423614502,0.399861693382263,2.81411981582642,0,0,0,55.2760581970215,414.583648681641,15.8654479980469,0,0,0,0
"42",2,1020,32.4328384399414,29.3052978515625,15.9449577331543,19.0582008361816,0.384854167699814,2.70850086212158,0,0,0,68.7578887939453,232.856201171875,11.8446960449219,0,0,0,0
"43",2,1080,26.8992443084717,26.0818481445312,19.2098922729492,20.15797996521,0.369846642017365,2.60288190841675,0,0,0,81.9616928100586,54.691047668457,7.84967041015625,0,0,0,0
"44",2,1140,24.4696674346924,24.5917053222656,21.4135341644287,21.2577590942383,0.35483905673027,2.49726295471191,0,0,0,90,0.217052936553955,6.06503295898438,0,0,0,0
"45",2,1200,23.8124389648438,24.0715637207031,22.7083911895752,22.357536315918,0.339831560850143,2.3916437625885,0,0,0,90,0,5.5263671875,0,0,0,0
"46",2,1260,23.3707141876221,23.6770324707031,23.8944854736328,23.4573173522949,0.324824064970016,2.28602480888367,0,0,0,90,0,5.14169311523438,0,0,0,0
"47",2,1320,23.0293674468994,23.3778381347656,25.0797386169434,24.5570945739746,0.309816479682922,2.18040585517883,0,0,0,90,0,4.87442016601562,0,0,0,0
"48",2,1380,22.7619953155518,23.15087890625,26.2681369781494,25.6568737030029,0.294808954000473,2.074786901474,0,0,0,90,0,4.69656372070312,0,0,0,0
"49",3,0,22.5460681915283,22.978759765625,27.4679088592529,26.7566528320312,0.279801458120346,1.96916794776917,0,0,0,90,0,4.58688354492188,0,0,0,0
"50",3,60,22.2877788543701,22.8753643035889,29.7776870727539,28.7340278625488,0.201695427298546,1.41947865486145,0,0,0,90,0,4.18783569335938,0,0,0,0
"51",3,120,21.9446926116943,22.7719669342041,32.2962951660156,30.711404800415,0.123589426279068,0.869789361953735,0,0,0,90,0,3.82058715820312,0,0,0,0
"52",3,180,21.4023685455322,22.668571472168,35.3125648498535,32.6887817382812,0.045483410358429,0.320100098848343,0,0,0,90,0,3.48312377929688,0,0,0,0
"53",3,240,21.8026580810547,22.5651760101318,36.3140754699707,34.6661567687988,0.229437172412872,1.6147176027298,0,0,0,90,0,3.17367553710938,0,0,0,0
"54",3,300,22.5397510528564,22.4617805480957,51.748893737793,51.9946174621582,0.210140109062195,1.47890996932983,0,0,0,90,0.187683925032616,10.2671813964844,0,0,0,0
"55",3,360,23.4783973693848,22.6253051757812,49.379093170166,51.9946174621582,0.295093685388565,2.07679057121277,0,0,0,81.9916076660156,50.2219161987305,10.2979125976562,0,0,0,0
"56",3,420,26.1696395874023,23.3886108398438,41.6952972412109,49.2271041870117,0.380047231912613,2.67467093467712,0,0,0,68.7806015014648,198.437149047852,11.7585754394531,0,0,0,0
"57",3,480,28.6510791778564,24.6214599609375,36.0055732727051,45.6461944580078,0.465000778436661,3.27255153656006,0,0,0,55.2922515869141,323.960174560547,13.7113342285156,0,0,0,0
"58",3,540,30.7517127990723,26.125244140625,32.1533966064453,42.0652809143066,0.549954354763031,3.87043190002441,0,0,0,41.6229019165039,415.276031494141,15.9602966308594,0,0,0,0
"59",3,600,32.1968269348145,27.6576538085938,29.652660369873,38.4843711853027,0.634907901287079,4.46831226348877,0,0,0,27.8436126708984,448.912261962891,18.2207336425781,0,0,0,0
"60",3,660,32.5114059448242,28.9716186523438,25.5919399261475,31.3225479125977,0.719861388206482,5.06619262695312,0,0,0,14.0333890914917,373.4287109375,21.0562438964844,0,0,0,0
"61",3,720,32.9313926696777,29.8555297851562,26.3012447357178,31.3225479125977,0.889768540859222,6.26195383071899,0,0,0,1.87721920013428,386.893096923828,21.9201354980469,0,0,0,0
"62",3,780,33.2449645996094,30.1669311523438,27.0321369171143,32.1838836669922,0.889768540859222,6.26195383071899,0,0,0,14.0333881378174,388.891174316406,22.0285339355469,0,0,0,0
"63",3,840,32.8306350708008,29.8555297851562,27.9052696228027,33.0452194213867,0.859753489494324,6.05071544647217,0,0,0,27.8436126708984,361.595336914062,21.5324401855469,0,0,0,0
